fname,itp,its,channels
NC_MEM_2017100709282692.npz,3000,3287,EHE_EHN_EHZ
NC_MTU_2014071807051236_02.npz,3000,3291,EHZ
NC_GDXB_2008072815280414.npz,3000,3038,HNE_HNN_HNZ
NC_KCR_2001092605130217_02.npz,3000,3810,EHZ
NC_BJOB_2017111323254117.npz,3000,3121,HNE_HNN_HNZ
NC_GDXB_2017111608332923.npz,3000,3036,HNE_HNN_HNZ
NC_MCV_2017071007270260.npz,3000,3062,EHZ
NN_OMMB_2012062718271748.npz,3000,3518,HHE_HHN_HHZ
NC_BSR_2001021614001905.npz,3000,3210,EHZ
NP_1845_2008013001525083.npz,3000,3090,HNE_HNN_HNZ
CI_MLAC_2014092606030921.npz,3000,3124,HNE_HNN_HNZ
NC_PHC_2004011816230722.npz,3000,3140,SHZ
NC_BVL_2002120221303412.npz,3000,3118,EHZ
NC_CAL_1986040707411070_02.npz,3000,3204,ELE_ELN_ELZ
BG_TCH_2015032422282089.npz,3000,3042,DPE_DPN_DPZ
PG_LM_2004120808532425.npz,3000,3209,EHE_EHN_EHZ
NC_KCR_2010030506212295.npz,3000,3970,SHZ
NC_MINS_2017121917375949.npz,3000,3057,HHE_HHN_HHZ
NC_KCPB_2003093001160889.npz,3000,4005,HHE_HHN_HHZ
NC_PSM_2007120702123974.npz,3000,3283,EHE_EHN_EHZ
BG_BUC_2016010523005440.npz,3000,3098,DPE_DPN_DPZ
NC_MCM_1996101007422419_02.npz,3000,3267,EHZ
BG_SB4_2016032123384429.npz,3000,3068,DPE_DPN_DPZ
BG_FNF_2016112721021395.npz,3000,3056,DPE_DPN_DPZ
BG_BRP_2012051815590255.npz,3000,3069,DPE_DPN_DPZ
BG_CLV_2014093006271251.npz,3000,3104,DPE_DPN_DPZ
NC_PHP_1990082517392512.npz,3000,4285,EHZ
PB_B045_2014120103335483.npz,3000,3516,EHZ
BG_SQK_2014092905050165.npz,3000,3074,DPE_DPN_DPZ
BG_SQK_2008053018513134.npz,3000,3057,DPE_DPN_DPZ
NC_BSR_2016060814045294.npz,3000,3174,EHE_EHN_EHZ
NC_PST_2004100704494553.npz,3000,3067,EHZ
BK_CVS_2014122917571883.npz,3000,3134,HNE_HNN_HNZ
NC_BJOB_2014081204003000.npz,3000,3290,EHE_EHN_EHZ
NN_MGN_1987020206461132_N1.npz,3000,3487,EHZ
NN_MLN_1987052517430303_N1.npz,3000,3230,EHZ
PG_AR_2004102501154586.npz,3000,3290,EHE_EHN_EHZ
TA_Q03C_2007052416012924.npz,3000,3778,BHE_BHN_BHZ
BG_AL4_2011050109272382.npz,3000,3062,DPE_DPN_DPZ
BK_BKS_2017071510492061.npz,3000,3095,HHE_HHN_HHZ
BG_FUM_2015112500545727.npz,3000,3066,DPE_DPN_DPZ
NC_CAL_2002092404400348.npz,3000,3163,EHZ
NC_MMS_2009122402065714.npz,3000,3064,EHZ
BK_SCZ_2014011401023067.npz,3000,3258,HHE_HHN_HHZ
NC_MDY_2017092916214225.npz,3000,3256,HNE_HNN_HNZ
NC_LSH_1987080122274025_01.npz,3000,3464,EHZ
NC_MCB_2017010105240675.npz,3000,3119,HHE_HHN_HHZ
NC_JMP_1990041816192565.npz,3000,3941,ELE_ELN_ELZ
BK_HUMO_2010081119294380.npz,3000,3696,HHE_HHN_HHZ
NC_PPC_2003083020544770.npz,3000,3143,EHZ
NC_MDPB_2010020301543668.npz,3000,3094,HHE_HHN_HHZ
NN_CAS_1987070910023014_N1.npz,3000,3260,EHZ
PG_AR_2004101107051561.npz,3000,3423,EHE_EHN_EHZ
NC_PHOB_2004110716051945.npz,3000,3182,EHE_EHN_EHZ
NC_MQ1P_2010070310532150.npz,3000,3206,EHE_EHN_EHZ
BK_RAMR_2008020407335694.npz,3000,3238,HLE_HLN_HLZ
BK_SAO_2016111609193067.npz,3000,3138,BHE_BHN_BHZ
BG_AL1_2012061003014499.npz,3000,3112,DPE_DPN_DPZ
NC_CLCB_2017112601505303.npz,3000,3180,HNE_HNN_HNZ
BG_AL2_2009091706111844.npz,3000,3146,DPE_DPN_DPZ
BG_SSR_2010100919233912.npz,3000,3139,DPE_DPN_DPZ
PG_AR_1997080110141265.npz,3000,3540,EHE_EHN_EHZ
BG_DRK_2008042312375958.npz,3000,3062,DPE_DPN_DPZ
BG_SQK_2012040517463293.npz,3000,3053,DPE_DPN_DPZ
NC_OGO_1996070411121570.npz,3000,3539,EHZ
BG_SQK_2009030904355060.npz,3000,3041,DPE_DPN_DPZ
CI_MLAC_2017042709015422.npz,3000,3144,HNE_HNN_HNZ
NC_MCM_1990021913570257_01.npz,3000,3136,EHZ
